account_id,principal_amount,outstanding_amount,dpd,risk_segment,status,loan_type,opened_at,timezone,success_payment_amount,success_payment_count,recovery_rate,dpd_band
ACC0000001,603443.4,678074.03,15,MEDIUM,CLOSED,CONSUMER,11-11-2025 04:37,Asia/Dubai,114222.84,1,0.168451872,Jan-30
ACC0000002,277190.14,464893.44,5,LOW,ACTIVE,BNPL,13-11-2025 15:59,UTC,0,0,0,Jan-30
ACC0000003,628658.43,22565.37,60,NPA,WRITEOFF,CREDIT_CARD,12-09-2025 04:59,Asia/Dubai,118181.69,2,5.237303443,31-60
ACC0000004,76435.07,508427.73,30,LOW,CLOSED,PERSONAL,25-05-2025 19:29,UTC,120763,1,0.23752245,Jan-30
ACC0000005,646797.08,563858.01,180,LOW,WRITEOFF,CONSUMER,07-09-2025 14:59,Asia/Dubai,0,0,0,91-180
ACC0000006,502458.93,326675.14,45,MEDIUM,CLOSED,BNPL,05-03-2024 22:30,Asia/Kolkata,0,0,0,31-60
ACC0000007,264110.65,438792.97,45,MEDIUM,CLOSED,BNPL,12-01-2025 08:52,Asia/Kolkata,0,0,0,31-60
ACC0000008,25601.77,413180.65,1,MEDIUM,WRITEOFF,PERSONAL,15-03-2025 08:55,UTC,129255.53,1,0.31283055,Jan-30
ACC0000009,468473.94,546432.13,0,NPA,PAID,AUTO,03-07-2024 01:36,UTC,0,0,0,0
ACC0000010,503912.27,480229.21,120,NPA,ACTIVE,CREDIT_CARD,18-03-2025 02:20,Asia/Dubai,113781.45,1,0.236931548,91-180
ACC0000011,664562.9,443718,180,NPA,ACTIVE,CONSUMER,08-06-2025 19:02,UTC,98816.74,1,0.222701671,91-180
ACC0000012,625295.8,200739.85,90,HIGH,WRITEOFF,CONSUMER,14-07-2025 18:07,UTC,0,0,0,61-90
ACC0000013,775832.27,563492.59,1,MEDIUM,CLOSED,BNPL,03-11-2024 20:17,Asia/Dubai,0,0,0,Jan-30
ACC0000014,663562.94,309754.88,60,MEDIUM,WRITEOFF,BNPL,15-09-2024 06:47,UTC,81878.72,1,0.264333915,31-60
ACC0000015,458992.65,571588.51,180,NPA,PAID,CREDIT_CARD,17-01-2024 21:15,Asia/Kolkata,43465.37,1,0.076043114,91-180
ACC0000016,20937.2,219141.72,180,LOW,WRITEOFF,CREDIT_CARD,23-01-2025 05:53,Asia/Dubai,0,0,0,91-180
ACC0000017,534698.26,5858.33,180,NPA,ACTIVE,BNPL,28-08-2024 03:16,Asia/Kolkata,0,0,0,91-180
ACC0000018,112252.25,400488.89,45,LOW,WRITEOFF,PERSONAL,14-10-2024 12:39,Asia/Dubai,0,0,0,31-60
ACC0000019,396730.22,466998.79,90,MEDIUM,PAID,BNPL,09-02-2024 03:00,Asia/Dubai,0,0,0,61-90
